FileName,Reg1AvgEntropy,Reg1StdEntropy,Reg1Area,Reg2AvgEntropy,Reg2StdEntropy,Reg2Area,Reg3AvgEntropy,Reg3StdEntropy,Reg3Area,Reg4AvgEntropy,Reg4StdEntropy,Reg4AreaProcTime(s)
BBSLID830831_Megachile_MAXIMEGACHILE_maxillosa_male_lateralhabitus_E.jpg,156.649,75.722,1588566.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.562
E_SEMC1167976_Xenostelis_polychroma_female_lateralhabitus_black_5x.jpg,113.040,75.468,6935425.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,19.431
FDP110455_Ceratina_Rhysoceratina_sp_male_lateralhabitus_Complete.jpg,164.583,91.493,2271942.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.217
FDP127464_Ceratina_Lioceratina_sp_female_lateralhabitus_Complete.jpg,178.323,80.235,1752771.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.513
FDP163588_Ceratina_Ceratinidia_sp_male_lateralhabitus_Complete_20(3).jpg,165.716,76.155,1900914.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.468
FDP64521_Megachile_Rhodomegachile_aff_deanii_male_habitus_E.jpg,182.535,68.451,2098312.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.947
FDP78586_Megachile_CHALICODOMOIDES_aethiops_male_lateralhabitus2a.jpg,178.194,68.574,2328234.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.316
FDP97393_Ceratina_PITHITIS_binghami_female_E.jpg,192.986,75.039,1691611.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.550
Hoplostelis_multiplicata_female_lateralhabitus.jpg,165.031,58.566,2387066.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.119
ReeditPinStill_20InPhoto_BBSL723948_Microthurge_corumbae_female_lateralhabitus.jpg,173.265,67.754,2410344.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.313
Stelis_cooperi_Factsheet_EDITED-2.jpg,161.580,79.467,3261948.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.006
