FileName,Reg1AvgEntropy,Reg1StdEntropy,Reg1Area,Reg2AvgEntropy,Reg2StdEntropy,Reg2Area,Reg3AvgEntropy,Reg3StdEntropy,Reg3Area,Reg4AvgEntropy,Reg4StdEntropy,Reg4AreaProcTime(s)
BBSLID830831_Megachile_MAXIMEGACHILE_maxillosa_male_lateralhabitus_E.jpg,43.606,80.096,8395780.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.654
E_SEMC1167976_Xenostelis_polychroma_female_lateralhabitus_black_5x.jpg,48.022,75.961,25086623.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,19.524
FDP110455_Ceratina_Rhysoceratina_sp_male_lateralhabitus_Complete.jpg,70.075,101.958,8331402.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.194
FDP127464_Ceratina_Lioceratina_sp_female_lateralhabitus_Complete.jpg,57.253,95.908,8362065.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.738
FDP163588_Ceratina_Ceratinidia_sp_male_lateralhabitus_Complete_20(3).jpg,50.828,88.768,8277420.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.680
FDP64521_Megachile_Rhodomegachile_aff_deanii_male_habitus_E.jpg,63.056,94.956,8295333.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.667
FDP78586_Megachile_CHALICODOMOIDES_aethiops_male_lateralhabitus2a.jpg,63.161,94.161,8400315.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.852
FDP97393_Ceratina_PITHITIS_binghami_female_E.jpg,60.476,102.316,8345042.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.599
Hoplostelis_multiplicata_female_lateralhabitus.jpg,59.289,87.134,8378990.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.996
ReeditPinStill_20InPhoto_BBSL723948_Microthurge_corumbae_female_lateralhabitus.jpg,91.091,94.830,9321273.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.405
Stelis_cooperi_Factsheet_EDITED-2.jpg,29.461,69.895,21312453.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15.429
