FileName,Reg1AvgEntropy,Reg1StdEntropy,Reg1Area,Reg2AvgEntropy,Reg2StdEntropy,Reg2Area,Reg3AvgEntropy,Reg3StdEntropy,Reg3Area,Reg4AvgEntropy,Reg4StdEntropy,Reg4AreaProcTime(s)
BBSLID830831_Megachile_MAXIMEGACHILE_maxillosa_male_lateralhabitus_E.jpg,160.034,78.033,1588566.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.697
E_SEMC1167976_Xenostelis_polychroma_female_lateralhabitus_black_5x.jpg,113.522,76.376,6935425.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14.188
FDP110455_Ceratina_Rhysoceratina_sp_male_lateralhabitus_Complete.jpg,170.238,94.886,2271942.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.096
FDP127464_Ceratina_Lioceratina_sp_female_lateralhabitus_Complete.jpg,183.265,82.139,1752771.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.722
FDP163588_Ceratina_Ceratinidia_sp_male_lateralhabitus_Complete_20(3).jpg,170.495,79.840,1900914.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.976
FDP64521_Megachile_Rhodomegachile_aff_deanii_male_habitus_E.jpg,183.963,69.557,2098312.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.173
FDP78586_Megachile_CHALICODOMOIDES_aethiops_male_lateralhabitus2a.jpg,180.587,70.378,2328234.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.303
FDP97393_Ceratina_PITHITIS_binghami_female_E.jpg,207.913,81.634,1691611.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.921
Hoplostelis_multiplicata_female_lateralhabitus.jpg,171.948,61.116,2387066.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.305
ReeditPinStill_20InPhoto_BBSL723948_Microthurge_corumbae_female_lateralhabitus.jpg,178.680,69.576,2410344.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.556
Stelis_cooperi_Factsheet_EDITED-2.jpg,161.179,80.319,3261948.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.811
