FileName,Reg1AvgEntropy,Reg1StdEntropy,Reg1Area,Reg2AvgEntropy,Reg2StdEntropy,Reg2Area,Reg3AvgEntropy,Reg3StdEntropy,Reg3Area,Reg4AvgEntropy,Reg4StdEntropy,Reg4AreaProcTime(s)
BBSLID827091_Pachyanthidium_semiluteum_female_lateralhabitus_EDITED.jpg,157.392,63.708,1739931.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.061
BIOMACRONN418_Megachile_PTILOSAROIDES_pilosa_male_lateralhabitus_E.jpg,175.859,65.218,1658444.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.429
BSLID827035_Pseudoanthidium_truncatum_female_lateralhabitus.jpg,153.169,81.587,4071092.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.715
EDITED_BBSL245291_Hoplitis_fulgida_male_lateralhabitus.jpg,181.371,83.892,2602677.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.911
E_SEMC1104686_Heriadopsis_female_lateralhabitus_black_3x.jpg,147.545,78.650,5331720.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14.438
Eudioxys_20schwartzi_20F_2065mm_202x_20f3.0_20(1).jpg,166.838,71.182,4945239.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14.092
FDP761478_Protosmia_ribifloris_female_lateralhabitus.jpg,178.595,90.582,3858525.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.153
Holo86_Larinostelis_scapulata_female_lateralhabitus.jpg,146.957,71.881,4034986.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.159
Hoplostelis_multiplicata_female_lateralhabitus.jpg,165.031,58.566,2387066.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.918
Megachile_Zonomegachile_uncinata_male_lateralhabitus_E.jpg,178.061,76.963,2451369.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.514
Osmia_nausuta_lateralhabitus.jpg,185.295,76.724,2425401.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.128
SEMC1165742_Acedanthidium_lateralhabitus_black_2dot5x_EDITED.jpg,149.706,81.119,3620419.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.694
