FileName,Reg1AvgEntropy,Reg1StdEntropy,Reg1Area,Reg2AvgEntropy,Reg2StdEntropy,Reg2Area,Reg3AvgEntropy,Reg3StdEntropy,Reg3Area,Reg4AvgEntropy,Reg4StdEntropy,Reg4AreaProcTime(s)
BBSLID827091_Pachyanthidium_semiluteum_female_lateralhabitus_EDITED.jpg,52.380,85.512,8488696.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.538
BIOMACRONN418_Megachile_PTILOSAROIDES_pilosa_male_lateralhabitus_E.jpg,50.257,87.419,8433480.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.851
BSLID827035_Pseudoanthidium_truncatum_female_lateralhabitus.jpg,59.964,90.794,14679727.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.524
EDITED_BBSL245291_Hoplitis_fulgida_male_lateralhabitus.jpg,74.236,102.108,8602659.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.463
E_SEMC1104686_Heriadopsis_female_lateralhabitus_black_3x.jpg,52.904,82.375,18332130.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20.409
Eudioxys_20schwartzi_20F_2065mm_202x_20f3.0_20(1).jpg,55.188,87.706,18906557.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20.930
FDP761478_Protosmia_ribifloris_female_lateralhabitus.jpg,59.640,96.085,14441740.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.708
Holo86_Larinostelis_scapulata_female_lateralhabitus.jpg,67.136,88.082,12567321.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15.160
Hoplostelis_multiplicata_female_lateralhabitus.jpg,56.520,83.221,8378990.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.433
Megachile_Zonomegachile_uncinata_male_lateralhabitus_E.jpg,78.422,101.520,8350827.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.171
Osmia_nausuta_lateralhabitus.jpg,75.402,102.426,8459313.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.289
SEMC1165742_Acedanthidium_lateralhabitus_black_2dot5x_EDITED.jpg,62.571,91.545,12621422.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14.979
