FileName,Reg1AvgEntropy,Reg1StdEntropy,Reg1Area,Reg2AvgEntropy,Reg2StdEntropy,Reg2Area,Reg3AvgEntropy,Reg3StdEntropy,Reg3Area,Reg4AvgEntropy,Reg4StdEntropy,Reg4AreaProcTime(s)
BBSLID827091_Pachyanthidium_semiluteum_female_lateralhabitus_EDITED.jpg,53.473,87.564,8488696.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.795
BIOMACRONN418_Megachile_PTILOSAROIDES_pilosa_male_lateralhabitus_E.jpg,51.349,89.313,8433480.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.589
BSLID827035_Pseudoanthidium_truncatum_female_lateralhabitus.jpg,63.613,95.219,14679727.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.890
EDITED_BBSL245291_Hoplitis_fulgida_male_lateralhabitus.jpg,76.773,105.531,8602659.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.128
E_SEMC1104686_Heriadopsis_female_lateralhabitus_black_3x.jpg,53.212,82.841,18332130.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14.269
Eudioxys_20schwartzi_20F_2065mm_202x_20f3.0_20(1).jpg,55.482,88.234,18906557.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14.738
FDP761478_Protosmia_ribifloris_female_lateralhabitus.jpg,60.524,96.960,14441740.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.664
Holo86_Larinostelis_scapulata_female_lateralhabitus.jpg,69.492,91.358,12567321.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.572
Hoplostelis_multiplicata_female_lateralhabitus.jpg,59.289,87.134,8378990.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.601
Megachile_Zonomegachile_uncinata_male_lateralhabitus_E.jpg,79.581,103.140,8350827.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.071
Osmia_nausuta_lateralhabitus.jpg,76.356,103.835,8459313.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.937
SEMC1165742_Acedanthidium_lateralhabitus_black_2dot5x_EDITED.jpg,62.798,92.237,12621422.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.776
