FileName,Reg1AvgEntropy,Reg1StdEntropy,Reg1Area,Reg2AvgEntropy,Reg2StdEntropy,Reg2Area,Reg3AvgEntropy,Reg3StdEntropy,Reg3Area,Reg4AvgEntropy,Reg4StdEntropy,Reg4AreaProcTime(s)
BBSLID827091_Pachyanthidium_semiluteum_female_lateralhabitus_EDITED.jpg,159.961,65.918,1739931.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.845
BIOMACRONN418_Megachile_PTILOSAROIDES_pilosa_male_lateralhabitus_E.jpg,180.705,67.421,1658444.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.690
BSLID827035_Pseudoanthidium_truncatum_female_lateralhabitus.jpg,163.620,83.169,4071092.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.138
EDITED_BBSL245291_Hoplitis_fulgida_male_lateralhabitus.jpg,188.539,86.621,2602677.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.669
E_SEMC1104686_Heriadopsis_female_lateralhabitus_black_3x.jpg,148.604,78.947,5331720.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.830
Eudioxys_20schwartzi_20F_2065mm_202x_20f3.0_20(1).jpg,167.579,71.772,4945239.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.965
FDP761478_Protosmia_ribifloris_female_lateralhabitus.jpg,180.636,90.498,3858525.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.329
Holo86_Larinostelis_scapulata_female_lateralhabitus.jpg,151.638,74.841,4034986.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.602
Hoplostelis_multiplicata_female_lateralhabitus.jpg,171.948,61.116,2387066.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.276
Megachile_Zonomegachile_uncinata_male_lateralhabitus_E.jpg,180.459,78.191,2451369.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.691
Osmia_nausuta_lateralhabitus.jpg,187.938,78.015,2425401.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.767
SEMC1165742_Acedanthidium_lateralhabitus_black_2dot5x_EDITED.jpg,149.874,82.218,3620419.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.364
