FileName,Reg1AvgEntropy,Reg1StdEntropy,Reg1Area,Reg2AvgEntropy,Reg2StdEntropy,Reg2Area,Reg3AvgEntropy,Reg3StdEntropy,Reg3Area,Reg4AvgEntropy,Reg4StdEntropy,Reg4AreaProcTime(s)
BBSLID113094_Apis_dorsata_male_lateral_E_.jpg,170.275,62.970,2212323.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.638
BBSLID832155_Anthidium_labergei_female_lateralhabitus_EDITED_scale.jpg,184.449,76.098,2770565.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.314
EDITED_BBSL326929_Trachusa_perdita_female_lateralhabitus.jpg,190.167,73.534,2662004.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.864
E_SEMC0976296_Prodioxys_carnea_female_Lateralhabitus_2x.jpg,149.882,84.029,4616469.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.889
FDP139933_Anthidium_formosum_female_lateralhabitus_EDITED_scale.jpg,169.840,61.408,2917095.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.656
FDP65525_Megachile_Pseudomegachile_lanata_female_lateralhabitus_E.jpg,186.717,71.036,2307126.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.966
FDP95332_Megachile_Dasymegachile_sauleyi_female_lateral_E.jpg,144.553,75.724,2611640.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.010
Megachile_LOPHANTHEDON_female_lateralhabitus_EDITED.jpg,196.828,69.152,2306437.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.595
Megachile_TRICHUROCHILE_sp_male_lateralhabitus_E.jpg,186.748,67.360,2128419.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.475
Megachile_ZONOMEGACHILE_moderata_female_lateralhabitus_E.jpg,192.884,65.660,2412736.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.264
NOBBSL_Megachile_Melanosarus_sp_female_lateral01.jpg,184.287,85.951,2490171.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.274
NOBBSL_Megachile_Moureapis_sp_female_lateral01.jpg,175.756,74.963,2338161.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.737
Osmia_Hemiosmia_balaerica_male_lateralhabitus.jpg,181.319,68.381,3393213.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.421
Osmia_Pyrosmia_ferruingea_lateralhabitus.jpg,168.083,63.563,2583636.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.812
Osmia_Tergosmia_agilis_female_lateralhabitus_E2.jpg,179.314,79.406,2377844.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.250
Osmia_bicornis_male_lateralhabitus.jpg,173.845,68.187,2825014.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.335
Osmia_cornuta_female_lateralhabitus.jpg,170.971,69.512,2841851.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.324
Osmia_emarginata_female_lateralhabitus_SCALEBAR.jpg,182.754,56.942,374407.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.829
SEMC1102229_Osmia_excavata_male_lateralhabitus_SCALEBAR-2.jpg,180.115,64.634,474325.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.798
SEMC1102232_Osmia_excavata_female_lateralhabitus_SCALEBAR1-2.jpg,187.334,64.097,372631.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.701
SEMC1102235_Osmia_longicornis_male_lateralhabitus_EDITED.jpg,161.522,78.996,3235470.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.012
SEMC1102237_Osmia_fedtschenkoi_male_lateralhabitus_EDITED.jpg,173.373,79.298,2117530.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.828
SEMC1102252_Osmia_mustelina_female_lateralhabitus_EDITED.jpg,177.592,66.822,3162180.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.019
SEMC1146658_Osmia_fedtschenkoi_female_lateralhabitus_EDITED.jpg,198.222,61.623,2683925.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.289
