FileName,Reg1AvgEntropy,Reg1StdEntropy,Reg1Area,Reg2AvgEntropy,Reg2StdEntropy,Reg2Area,Reg3AvgEntropy,Reg3StdEntropy,Reg3Area,Reg4AvgEntropy,Reg4StdEntropy,Reg4AreaProcTime(s)
BBSLID113094_Apis_dorsata_male_lateral_E_.jpg,65.057,93.498,8464383.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.890
BBSLID832155_Anthidium_labergei_female_lateralhabitus_EDITED_scale.jpg,71.749,99.969,8370957.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.444
EDITED_BBSL326929_Trachusa_perdita_female_lateralhabitus.jpg,72.373,99.974,8619630.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.716
E_SEMC0976296_Prodioxys_carnea_female_Lateralhabitus_2x.jpg,52.136,88.023,18094413.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20.049
FDP139933_Anthidium_formosum_female_lateralhabitus_EDITED_scale.jpg,68.690,90.177,8356901.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.077
FDP65525_Megachile_Pseudomegachile_lanata_female_lateralhabitus_E.jpg,69.606,99.209,8357856.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.826
FDP95332_Megachile_Dasymegachile_sauleyi_female_lateral_E.jpg,54.271,84.411,8444137.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.446
Megachile_LOPHANTHEDON_female_lateralhabitus_EDITED.jpg,64.211,99.435,8342668.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.634
Megachile_TRICHUROCHILE_sp_male_lateralhabitus_E.jpg,70.501,98.426,8370679.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.896
Megachile_ZONOMEGACHILE_moderata_female_lateralhabitus_E.jpg,72.999,99.635,8346412.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.858
NOBBSL_Megachile_Melanosarus_sp_female_lateral01.jpg,70.578,102.568,8399547.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.911
NOBBSL_Megachile_Moureapis_sp_female_lateral01.jpg,58.283,90.708,8360102.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.626
Osmia_Hemiosmia_balaerica_male_lateralhabitus.jpg,91.144,103.165,8437818.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.663
Osmia_Pyrosmia_ferruingea_lateralhabitus.jpg,83.402,99.922,8510199.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.337
Osmia_Tergosmia_agilis_female_lateralhabitus_E2.jpg,67.839,97.717,8386643.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.838
Osmia_bicornis_male_lateralhabitus.jpg,86.479,104.507,8173173.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.212
Osmia_cornuta_female_lateralhabitus.jpg,72.418,96.356,8082720.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.690
Osmia_emarginata_female_lateralhabitus_SCALEBAR.jpg,85.447,99.528,1227380.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.173
SEMC1102229_Osmia_excavata_male_lateralhabitus_SCALEBAR-2.jpg,80.625,98.796,1210200.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.100
SEMC1102232_Osmia_excavata_female_lateralhabitus_SCALEBAR1-2.jpg,71.172,99.168,1220604.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.056
SEMC1102235_Osmia_longicornis_male_lateralhabitus_EDITED.jpg,81.647,98.831,8242794.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.204
SEMC1102237_Osmia_fedtschenkoi_male_lateralhabitus_EDITED.jpg,57.419,92.082,8260572.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.669
SEMC1102252_Osmia_mustelina_female_lateralhabitus_EDITED.jpg,88.579,100.857,8322456.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.325
SEMC1146658_Osmia_fedtschenkoi_female_lateralhabitus_EDITED.jpg,76.080,101.564,8270362.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.904
