FileName,Reg1AvgEntropy,Reg1StdEntropy,Reg1Area,Reg2AvgEntropy,Reg2StdEntropy,Reg2Area,Reg3AvgEntropy,Reg3StdEntropy,Reg3Area,Reg4AvgEntropy,Reg4StdEntropy,Reg4AreaProcTime(s)
BBSLID113094_Apis_dorsata_male_lateral_E_.jpg,66.511,95.490,8464383.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.085
BBSLID832155_Anthidium_labergei_female_lateralhabitus_EDITED_scale.jpg,73.644,102.147,8370957.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.907
EDITED_BBSL326929_Trachusa_perdita_female_lateralhabitus.jpg,74.250,102.982,8619630.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.200
E_SEMC0976296_Prodioxys_carnea_female_Lateralhabitus_2x.jpg,53.924,90.958,18094413.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.964
FDP139933_Anthidium_formosum_female_lateralhabitus_EDITED_scale.jpg,70.098,92.375,8356901.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.993
FDP65525_Megachile_Pseudomegachile_lanata_female_lateralhabitus_E.jpg,71.459,102.070,8357856.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.855
FDP95332_Megachile_Dasymegachile_sauleyi_female_lateral_E.jpg,54.520,84.842,8444137.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.599
Megachile_LOPHANTHEDON_female_lateralhabitus_EDITED.jpg,65.792,102.230,8342668.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.738
Megachile_TRICHUROCHILE_sp_male_lateralhabitus_E.jpg,71.248,99.666,8370679.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.799
Megachile_ZONOMEGACHILE_moderata_female_lateralhabitus_E.jpg,74.708,102.204,8346412.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.895
NOBBSL_Megachile_Melanosarus_sp_female_lateral01.jpg,72.123,104.755,8399547.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.982
NOBBSL_Megachile_Moureapis_sp_female_lateral01.jpg,61.820,95.426,8360102.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.659
Osmia_Hemiosmia_balaerica_male_lateralhabitus.jpg,92.444,104.781,8437818.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.269
Osmia_Pyrosmia_ferruingea_lateralhabitus.jpg,84.648,101.908,8510199.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.172
Osmia_Tergosmia_agilis_female_lateralhabitus_E2.jpg,69.259,99.809,8386643.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.948
Osmia_bicornis_male_lateralhabitus.jpg,87.621,106.292,8173173.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.094
Osmia_cornuta_female_lateralhabitus.jpg,73.451,97.817,8082720.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.768
Osmia_emarginata_female_lateralhabitus_SCALEBAR.jpg,86.367,100.704,1227380.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.706
SEMC1102229_Osmia_excavata_male_lateralhabitus_SCALEBAR-2.jpg,81.455,99.798,1210200.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.625
SEMC1102232_Osmia_excavata_female_lateralhabitus_SCALEBAR1-2.jpg,72.301,100.786,1220604.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.607
SEMC1102235_Osmia_longicornis_male_lateralhabitus_EDITED.jpg,83.363,100.776,8242794.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.104
SEMC1102237_Osmia_fedtschenkoi_male_lateralhabitus_EDITED.jpg,58.373,93.617,8260572.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.720
SEMC1102252_Osmia_mustelina_female_lateralhabitus_EDITED.jpg,89.458,101.865,8322456.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.375
SEMC1146658_Osmia_fedtschenkoi_female_lateralhabitus_EDITED.jpg,76.923,102.858,8270362.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.948
