FileName,Reg1AvgEntropy,Reg1StdEntropy,Reg1Area,Reg2AvgEntropy,Reg2StdEntropy,Reg2Area,Reg3AvgEntropy,Reg3StdEntropy,Reg3Area,Reg4AvgEntropy,Reg4StdEntropy,Reg4AreaProcTime(s)
BBSLID113094_Apis_dorsata_male_lateral_E_.jpg,173.864,64.132,2212323.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.484
BBSLID832155_Anthidium_labergei_female_lateralhabitus_EDITED_scale.jpg,188.283,76.562,2770565.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.805
EDITED_BBSL326929_Trachusa_perdita_female_lateralhabitus.jpg,194.769,76.501,2662004.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.651
E_SEMC0976296_Prodioxys_carnea_female_Lateralhabitus_2x.jpg,155.992,87.014,4616469.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.764
FDP139933_Anthidium_formosum_female_lateralhabitus_EDITED_scale.jpg,173.200,63.892,2917095.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.613
FDP65525_Megachile_Pseudomegachile_lanata_female_lateralhabitus_E.jpg,193.045,74.216,2307126.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.279
FDP95332_Megachile_Dasymegachile_sauleyi_female_lateral_E.jpg,145.215,76.295,2611640.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.363
Megachile_LOPHANTHEDON_female_lateralhabitus_EDITED.jpg,201.916,72.414,2306437.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.289
Megachile_TRICHUROCHILE_sp_male_lateralhabitus_E.jpg,188.947,68.923,2128419.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.028
Megachile_ZONOMEGACHILE_moderata_female_lateralhabitus_E.jpg,196.821,68.027,2412736.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.450
NOBBSL_Megachile_Melanosarus_sp_female_lateral01.jpg,189.318,87.804,2490171.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.494
NOBBSL_Megachile_Moureapis_sp_female_lateral01.jpg,186.088,76.104,2338161.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.170
Osmia_Hemiosmia_balaerica_male_lateralhabitus.jpg,184.069,69.966,3393213.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.176
Osmia_Pyrosmia_ferruingea_lateralhabitus.jpg,171.419,67.407,2583636.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.731
Osmia_Tergosmia_agilis_female_lateralhabitus_E2.jpg,183.391,81.129,2377844.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.450
Osmia_bicornis_male_lateralhabitus.jpg,176.049,70.190,2825014.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.687
Osmia_cornuta_female_lateralhabitus.jpg,173.697,70.981,2841851.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.469
Osmia_emarginata_female_lateralhabitus_SCALEBAR.jpg,185.628,58.368,374407.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.509
SEMC1102229_Osmia_excavata_male_lateralhabitus_SCALEBAR-2.jpg,182.185,65.621,474325.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.508
SEMC1102232_Osmia_excavata_female_lateralhabitus_SCALEBAR1-2.jpg,190.783,65.274,372631.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.524
SEMC1102235_Osmia_longicornis_male_lateralhabitus_EDITED.jpg,164.594,79.934,3235470.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.964
SEMC1102237_Osmia_fedtschenkoi_male_lateralhabitus_EDITED.jpg,176.147,80.578,2117530.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.227
SEMC1102252_Osmia_mustelina_female_lateralhabitus_EDITED.jpg,179.475,67.632,3162180.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.044
SEMC1146658_Osmia_fedtschenkoi_female_lateralhabitus_EDITED.jpg,200.521,62.882,2683925.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.551
